"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ABT1" 170.712628286537 0.850159181272131 0.969280739905386 0.877103140783668 0.380430618911629 0.549803132127391
"ABT1P1" 3.79031453279971 1.15517802890395 1.86575604305905 0.619147413833347 0.53581925063517 0.685595618862736
"ABTB1" 543.831945896151 -0.709355556527424 0.460444969468945 -1.54058704853603 0.123417322036306 0.254935464385242
"ABTB2" 196.392178387924 -1.66465636173167 0.442807432186682 -3.75932344565948 0.00017037345927579 0.0016693250144963
"ACAA1" 513.886307810988 0.496513701958353 0.463332744646556 1.07161366792047 0.283893591732179 0.450885512128887
"ACAA2" 409.491550764773 -0.405879462185179 0.244285291805239 -1.66149774792325 0.0966135208496414 0.215647262086757
"ACACA" 1165.62806292228 0.597173841548382 0.38227145256322 1.56217221438899 0.118247424399815 0.247566398863995
"ACACB" 1343.89604089028 0.0726731097886687 0.651127669301456 0.111611152796861 0.911131728626576 0.949714056242281
"ACAD10" 303.618663277024 0.154347716389029 0.519904599574765 0.296876997270791 0.766560418392179 0.856847638878891
"ACAD11" 593.766431119811 1.02860239227509 0.709312431392648 1.45014008884005 NA NA
"ACAD8" 227.418408180046 0.874733437171049 0.785256430573323 1.11394622586204 0.265302256656401 0.43130089917817
"ACAD9" 806.592688693403 0.239749174042236 0.427477451509186 0.560846363231124 0.57490227732297 0.71800667131492
"ACADL" 291.500058227697 -1.015760815195 0.434137694645651 -2.33972038761592 0.0192981818830934 0.0680796971986906
"ACADM" 1043.2905929672 -0.389613981996525 0.44802600165361 -0.869623594520199 0.384506139289225 0.553829943746866
"ACADS" 135.002515313537 -1.09858686943898 0.755024568605823 -1.45503459770528 0.145659683598616 0.286089950549659
"ACADSB" 933.301283281986 -0.0667082897930649 0.284400501115469 -0.234557567695637 0.814552146826775 0.888865764863127
"ACADVL" 1642.91080017604 -1.47886266044179 0.297569777441321 -4.96980127873846 6.70215557727198e-07 1.61473879289693e-05
"ACAN" 212.982989347222 3.94577616753595 0.848747612883486 4.64893934031908 3.3364630955613e-06 6.54780882503904e-05
"ACAP1" 209.934006104758 -0.34495007308023 0.383456843726679 -0.899579910291299 0.36834385230425 0.537770380447436
"ACAP2" 2712.87135296288 1.52848845281603 0.318216186962802 4.80330201742597 1.56070202096777e-06 3.36783956667493e-05
"ACAP3" 1139.38681200001 -3.25362482783471 0.606969873115325 -5.36043874984305 8.30200719986204e-08 2.7136675665254e-06
"ACAT1" 700.343362470184 -0.665066167693466 0.399817711563824 -1.66342347639419 0.0962276970151354 0.215243782763225
"ACAT2" 90.2123054890731 -0.382787237210208 0.616728817094937 -0.620673506085387 0.534814464736208 0.68501609668817
"ACBD3" 1375.35929002508 -0.421311917196318 0.277027794905425 -1.52082904655885 0.128302743222009 0.262355491447405
"ACBD4" 175.129528455175 -1.13826971574788 0.607972549249087 -1.87223866793619 0.061173591666236 0.157895177247001
"ACBD5" 825.046607782732 -0.0487586854546322 0.348305940786656 -0.139988095938041 0.888669395836824 0.936482167094257
"ACBD6" 491.337826254923 0.441462074199952 0.410155449927504 1.07632868045026 0.281780286206526 0.448719521337906
"ACBD7" 313.434791793111 -0.390758756706353 0.402202365836224 -0.971547633475306 0.331275645063279 0.499720463528273
"ACCS" 347.900236899923 0.366358897779631 0.63955307512741 0.57283580054188 0.56675587648792 0.710547373069205
"ACCSL" 0.850232270618209 2.66564837525382 3.4113926029173 0.78139595336352 0.434569650419593 NA
"ACD" 101.225326067235 -1.853420334877 1.06020544891405 -1.74817091986787 0.080434435476549 0.190390130995577
"ACE" 215.377949515328 0.64390196649663 0.450202861284813 1.43024849877459 0.152645710334943 0.295983936435713
"ACE2" 68.0901226283836 0.805843097314787 0.819845490845319 0.982920692146402 0.325646472938363 0.49422020276435
"ACE3P" 0 NA NA NA NA NA
"ACER1" 6.6130838438145 0.690548753230468 1.08779804020986 0.634813382360245 0.525550134253838 0.677634772819922
"ACER2" 49.910338404989 0.197271457183026 0.646242393100251 0.30525923289657 0.760168722441194 0.85261878588935
"ACER2P1" 0 NA NA NA NA NA
"ACER3" 1661.095398895 0.652441507625912 0.304038475384101 2.14591757441772 0.0318795554078205 0.0988102681915953
"ACHE" 10.8685419190539 2.13696031017876 2.15120005833945 0.99338055607358 0.320524533511369 0.489127404996417
"ACIN1" 2443.85606491726 -0.546573787878442 0.222063215985302 -2.461343205597 0.0138417884894578 0.0529327619277519
"ACKR1" 314.023462789313 1.03746435577277 0.67016116046227 1.54808188982056 0.12160258174425 0.252477182294266
"ACKR2" 196.555733694348 -1.15962313559066 0.369039617188501 -3.1422727576653 0.00167641786681838 0.0102849525681513
"ACKR3" 1902.22152848652 0.570673772208236 0.44112741687959 1.29367105822853 0.195779066337045 0.350857343492211
